Tamano;Distribucion;OE_Binaria1;OE_Iter1;OE_Binaria2;OE_Iter2;OE_Interpolacion;OE_IterInterp;Tiempo_Binaria1(s);Tiempo_iter1(s);Tiempo_Binaria2(s);Tiempo_iter2(s);Tiempo_Interpolacion(s);Tiempo_iter_interp
10000;gaussiana;102;91;132;97;43;34;0.00000020;0.00000010;0.00000010;0.00000010;0.00000010;0.00000010
10000;gaussiana;113;74;141;74;7;52;0.00000020;0.00000010;0.00000020;0.00000020;0.00000010;0.00000010
50000;gaussiana;118;107;152;113;19;16;0.00000040;0.00000020;0.00000020;0.00000010;0.00000020;0.00000010
50000;gaussiana;126;84;162;90;112;82;0.00000020;0.00000010;0.00000020;0.00000020;0.00000020;0.00000010
50000;gaussiana;118;105;152;111;43;34;0.00000020;0.00000010;0.00000020;0.00000010;0.00000010;0.00000010
50000;gaussiana;129;84;161;84;7;118;0.00000020;0.00000010;0.00000020;0.00000010;0.00000000;0.00000020
100000;gaussiana;126;114;162;120;19;16;0.00000040;0.00000020;0.00000020;0.00000010;0.00001050;0.00000010
100000;gaussiana;134;89;172;95;220;148;0.00000030;0.00000010;0.00000020;0.00000010;0.00000610;0.00000020
100000;gaussiana;126;112;162;118;172;114;0.00000020;0.00000010;0.00000020;0.00000010;0.00000020;0.00000020
100000;gaussiana;137;89;171;89;7;166;0.00000020;0.00000010;0.00000020;0.00000010;0.00000010;0.00000020
500000;gaussiana;142;128;182;134;19;16;0.00000060;0.00000020;0.00000020;0.00000010;0.00000010;0.00000010
500000;gaussiana;150;99;192;105;205;148;0.00000060;0.00000010;0.00000020;0.00000010;0.00000060;0.00000020
500000;gaussiana;134;119;182;132;238;160;0.00000060;0.00000020;0.00000030;0.00000020;0.00000100;0.00000020
500000;gaussiana;153;99;191;99;7;184;0.00000020;0.00000010;0.00000020;0.00000010;0.00000000;0.00000020
1000000;gaussiana;150;135;192;141;19;16;0.00000090;0.00000080;0.00000020;0.00000020;0.00000030;0.00000010
1000000;gaussiana;158;104;202;110;292;202;0.00000050;0.00000010;0.00000020;0.00000020;0.00001150;0.00000030
1000000;gaussiana;6;9;202;112;22;22;0.00000010;0.00000010;0.00000060;0.00000010;0.00000000;0.00000010
1000000;gaussiana;161;104;201;104;7;226;0.00000030;0.00000010;0.00000020;0.00000010;0.00000010;0.00000080
5000000;gaussiana;174;156;222;162;19;16;0.00000100;0.00000020;0.00000030;0.00000030;0.00000020;0.00000010
5000000;gaussiana;182;119;232;125;340;238;0.00000090;0.00000020;0.00000020;0.00000020;0.00000110;0.00000020
5000000;gaussiana;6;9;212;119;22;22;0.00000010;0.00000000;0.00000100;0.00000020;0.00000010;0.00000000
5000000;gaussiana;185;119;231;119;7;292;0.00000030;0.00000020;0.00000030;0.00000010;0.00000000;0.00000080
10000000;gaussiana;182;163;232;169;19;16;0.00000120;0.00000020;0.00000020;0.00000020;0.00000020;0.00000010
10000000;gaussiana;190;124;242;130;364;256;0.00000090;0.00000010;0.00000030;0.00000020;0.00000100;0.00000020
10000000;gaussiana;6;9;222;124;349;230;0.00000010;0.00000000;0.00000120;0.00000020;0.00000150;0.00000030
10000000;gaussiana;193;124;241;124;7;322;0.00000030;0.00000010;0.00000020;0.00000010;0.00000000;0.00000100
